,"Ip","Protocol","Src Port","Dst Port","Seq","Ack","Len"
"79","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,531,105,61
"80","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,105,592,0
"81","192.168.170.145,192.168.170.159","Transmission Control Protocol",47736,80,400,1,0
"82","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47736,1,401,0
"83","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,105,592,5
"84","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,592,110,6
"85","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,110,598,0
"86","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,598,110,29
"87","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,110,627,0
"88","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,110,627,9
"89","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,627,119,10
"90","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,119,637,0
"91","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,637,119,513
"92","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,119,1150,0
"93","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1150,119,29
"94","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,119,1179,0
"95","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,119,1179,8
"96","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1179,127,9
"97","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,127,1188,0
"98","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1188,127,27
"99","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,127,1215,0
"100","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,127,1215,23
"101","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1215,150,2
"102","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,150,1217,0
"103","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1217,150,304
"104","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,150,1521,0
"105","192.168.170.145,192.168.170.159","Transmission Control Protocol",47736,80,400,1,0
"106","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47736,1,401,0
"107","192.168.170.138,91.189.91.157",
"108",,,,,,,
"109",,,,,,,
"110","91.189.91.157,192.168.170.138",
"111","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,150,1521,21
"112","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1521,171,22
"113","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,171,1543,0
"114","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1543,171,1462
"115","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,171,3005,0
"116","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,3005,171,29
"117","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,171,3034,0
"118",,,,,,,
"119",,,,,,,
"120","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,171,3034,52
"121","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,3034,223,55
"122","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,223,3089,0
