,"Ip","Protocol","Src Port","Dst Port","Seq","Ack","Len"
"951","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,811929,0
"952","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,811929,1027,1399
"953","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,813328,0
"954","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,813328,1027,1399
"955","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,814727,1027,2798
"956","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,817525,0
"957","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,817525,1027,1399
"958","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,818924,0
"959","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,818924,1027,1399
"960","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,820323,1027,2170
"961","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,822493,0
"962","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,822493,1027,1399
"963","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,823892,0
"964","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,823892,1027,1399
"965","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,825291,1027,2798
"966","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,828089,0
"967","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,828089,1027,1399
"968","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,829488,0
"969","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,829488,1027,2835
"970","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,832323,0
"971","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,832323,1027,2761
"972","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,835084,0
"973","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,835084,1027,2017
"974","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,837101,0
"975","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,837101,1027,1399
"976","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,838500,0
"977","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,838500,1027,1399
"978","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,839899,1027,2798
"979","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,842697,0
"980","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,842697,1027,1399
"981","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,844096,0
"982","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,844096,1027,2156
"983","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,846252,0
"984","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,846252,1027,1399
"985","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,847651,0
"986","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,847651,1027,1399
"987","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,849050,1027,1399
"988","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,850449,0
"989","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,850449,1027,2798
"990","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,853247,0
"991","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,853247,1027,2798
"992","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,856045,0
"993","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,856045,1027,2798
"994","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,858843,0
"995","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,858843,1027,3431
"996","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,862274,0
"997","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,862274,1027,1399
"998","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,863673,0
"999","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,863673,1027,1399
"1000","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,865072,1027,2835
"1001","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,867907,0
"1002","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,867907,1027,1362
"1003","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,869269,0
"1004","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,869269,1027,2156
"1005","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,871425,0
"1006","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,871425,1027,1399
"1007","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,872824,0
"1008","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,872824,1027,1399
"1009","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,874223,1027,1399
"1010","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,875622,0
"1011","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,875622,1027,2835
"1012","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,878457,0
"1013","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,878457,1027,1362
"1014","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,879819,0
"1015","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,879819,1027,757
"1016","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,880576,0
"1017","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,880576,1027,1399
"1018","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,881975,0
"1019","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,881975,1027,1399
"1020","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,883374,1027,2798
"1021","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,886172,0
"1022","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,886172,1027,1436
"1023","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,887608,0
"1024","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,887608,1027,1362
"1025","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,888970,0
"1026","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,888970,1027,1399
"1027","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,890369,0
"1028","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,890369,1027,1436
"1029","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,891805,0
"1030","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,891805,1027,2798
"1031","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,894603,1027,1436
"1032","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,894603,0
"1033","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,896039,0
"1034","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,896039,1027,1174
"1035","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,897213,0
"1036","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,897213,1027,1399
"1037","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,898612,0
"1038","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,898612,1027,1399
"1039","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,900011,1027,1399
"1040","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,901410,0
"1041","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,901410,1027,1399
"1042","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,902809,1027,1399
"1043","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,904208,0
"1044","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,904208,1027,2835
"1045","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,907043,0
"1046","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,907043,1027,2761
"1047","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,909804,0
"1048","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,909804,1027,2798
"1049","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,912602,0
"1050","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,914758,1027,1399
"1051","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,912602,1027,2156
"1052","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,914758,0
"1053","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,916157,0
"1054","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,916157,1027,1399
"1055","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,917556,1027,2636
"1056","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,920192,0
"1057","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,920192,1027,1399
"1058","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,921591,0
"1059","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,921591,1027,1436
"1060","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,923027,0
"1061","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,923027,1027,2761
"1062","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,925788,0
"1063","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,925788,1027,1399
"1064","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,927187,0
"1065","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,927187,1027,1394
"1066","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,928581,0
"1067","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,928581,1027,1399
"1068","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,929980,0
"1069","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,929980,1027,1399
"1070","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,931379,1027,1399
"1071","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,932778,0
"1072","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,932778,1027,1399
"1073","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,934177,1027,1436
"1074","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,935613,0
"1075","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,935613,1027,2119
"1076","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,937732,0
"1077","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,937732,1027,1399
"1078","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,939131,0
"1079","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,939131,1027,1436
"1080","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,940567,0
"1081","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,940567,1027,1362
"1082","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,941929,0
"1083","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,941929,1027,2872
"1084","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,944801,0
"1085","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,944801,1027,1325
"1086","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,946126,0
"1087","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,946126,1027,1399
"1088","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,947525,0
"1089","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,947525,1027,2798
"1090","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,950323,0
"1091","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,950323,1027,1399
"1092","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,951722,0
"1093","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,951722,1027,1399
"1094","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,953121,1027,1399
"1095","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,954520,0
"1096","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,954520,1027,1399
"1097","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,955919,1027,1399
"1098","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,957318,0
"1099","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,957318,1027,1399
"1100","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,958717,1027,1399
"1101","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,960116,0
"1102","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,960116,1027,1399
"1103","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,961515,1027,1399
"1104","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,962914,0
"1105","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,962914,1027,3404
"1106","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,966318,0
"1107","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,966318,1027,1399
"1108","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,967717,0
"1109","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,967717,1027,1399
"1110","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,969116,1027,1399
"1111","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,970515,0
"1112","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,970515,1027,2835
"1113","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,973350,0
"1114","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,973350,1027,1362
"1115","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,974712,0
"1116","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,974712,1027,1399
"1117","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,976111,0
"1118","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,976111,1027,2798
"1119","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,978909,1027,1514
"1120","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,978909,0
"1121","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,980423,0
"1122","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,980423,1027,2798
"1123","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,983221,0
"1124","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,983221,1027,1399
"1125","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,984620,0
"1126","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,984620,1027,1399
"1127","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,986019,1027,1399
"1128","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,987418,0
"1129","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,987418,1027,1399
"1130","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,988817,1027,1399
"1131","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,990216,0
"1132","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,990216,1027,1399
"1133","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,991615,1027,1436
"1134","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,993051,0
"1135","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,993051,1027,1362
"1136","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,994413,0
"1137","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,994413,1027,1399
"1138","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,995812,0
"1139","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,995812,1027,2798
"1140","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,998610,0
"1141","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,998610,1027,1436
"1142","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1000046,0
"1143","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1000046,1027,2761
"1144","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1002807,0
"1145","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1002807,1027,1399
"1146","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1004206,0
"1147","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1004206,1027,1399
"1148","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1005605,1027,1436
"1149","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1007041,0
"1150","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1007041,1027,1309
"1151","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1008350,0
"1152","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1008350,1027,2798
"1153","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1011148,0
"1154",,,,,,,
"1155",,,,,,,
"1156","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1011148,1027,1399
"1157","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1012547,0
"1158","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1012547,1027,2156
"1159","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1014703,0
"1160","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1014703,1027,1399
"1161","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1016102,0
"1162","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1016102,1027,1399
"1163","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1017501,1027,1399
"1164","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1018900,0
"1165","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1018900,1027,2798
"1166","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1021698,0
"1167","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1021698,1027,1276
"1168","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1022974,0
"1169","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1022974,1027,1399
"1170","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1024373,0
"1171","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1024373,1027,1399
"1172","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1025772,1027,1399
"1173","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1027171,0
"1174","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1027171,1027,2798
"1175","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1029969,0
"1176","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1029969,1027,1399
"1177","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1031368,0
"1178","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1031368,1027,1399
"1179","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1035565,1027,1436
"1180","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1032767,1027,2798
"1181","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1037001,0
"1182","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1037001,1027,2761
"1183","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1039762,0
"1184","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1039762,1027,1399
"1185","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1041161,0
"1186","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1041161,1027,1399
"1187","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1042560,1027,1399
"1188","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1043959,0
"1189","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1043959,1027,1399
"1190","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1045358,1027,1399
"1191","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1046757,0
"1192","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1046757,1027,1399
"1193","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1048156,1027,1399
"1194","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1049555,0
"1195","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1049555,1027,2242
"1196","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1051797,0
"1197","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1051797,1027,1399
"1198","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1053196,0
"1199","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1053196,1027,2798
"1200","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1055994,0
"1201","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1055994,1027,2835
"1202","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1058829,0
"1203","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1058829,1027,2119
"1204","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1060948,0
"1205","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1060948,1027,1399
"1206","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1062347,0
"1207","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1062347,1027,1399
"1208","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1063746,1027,1436
"1209","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1065182,0
"1210","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1065182,1027,2798
"1211","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1067980,0
"1212","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1067980,1027,2872
"1213","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1070852,0
"1214","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1070852,1027,1013
"1215","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1071865,0
"1216","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1071865,1027,1399
"1217","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1073264,0
"1218","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1073264,1027,1399
"1219","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1074663,1027,1399
"1220","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1076062,0
"1221","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1076062,1027,1399
"1222","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1077461,1027,1399
"1223","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1078860,0
"1224","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1078860,1027,1436
"1225","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1080296,1027,1362
"1226","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1081658,0
"1227","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1081658,1027,1399
"1228","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1083057,0
"1229","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1083057,1027,1399
"1230","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1084456,1027,1399
"1231","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1085855,0
"1232","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1085855,1027,1399
"1233","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1087254,1027,1436
"1234","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1088690,0
"1235","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1088690,1027,2798
"1236","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1091488,0
"1237","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1091488,1027,78
"1238","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1091566,0
"1239","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1091566,1027,1399
"1240","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1092965,0
"1241","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1092965,1027,2798
"1242","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1095763,0
"1243","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1095763,1027,2798
"1244","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1098561,0
"1245","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1098561,1027,4197
"1246","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1102758,0
"1247","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1102758,1027,1399
"1248","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1104157,0
"1249","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1106060,0
"1250","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1104157,1027,1903
"1251","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1106060,1027,1399
"1252","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1107459,0
"1253","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1107459,1027,1399
"1254","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1108858,1027,1399
"1255","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1110257,0
"1256","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1110257,1027,2835
"1257","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1113092,0
"1258","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1113092,1027,2119
"1259","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1115211,0
"1260","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1115211,1027,1399
"1261","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,1116610,0
"1262","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1116610,1027,1399
"1263","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,1118009,1027,1399
